movie_id,count
pulp+fiction+1994,9302
the+shawshank+redemption+1994,9078
forrest+gump+1994,8728
the+silence+of+the+lambs+1991,8644
jurassic+park+1993,7523
apollo+13+1995,6812
braveheart+1995,6787
the+fugitive+1993,6626
dances+with+wolves+1990,6543
star+wars+1977,6474
batman+1989,6459
schindlers+list+1993,6331
toy+story+1995,6301
terminator+2+judgment+day+1991,6068
true+lies+1994,5925
independence+day+1996,5779
aladdin+1992,5582
the+usual+suspects+1995,5483
twelve+monkeys+1995,5467
the+matrix+1999,5358
ace+ventura+pet+detective+1994,5192
return+of+the+jedi+1983,5045
fargo+1996,4902
beauty+and+the+beast+1991,4877
american+beauty+1999,4810
se7en+1995,4806
the+godfather+1972,4791
batman+forever+1995,4746
die+hard+with+a+vengeance+1995,4708
speed+1994,4445
the+lion+king+1994,4399
clear+and+present+danger+1994,4361
mission+impossible+1996,4346
fight+club+1999,4341
stargate+1994,4298
the+empire+strikes+back+1980,4207
raiders+of+the+lost+ark+1981,4172
dumb+and+dumber+1994,4055
twister+1996,3966
star+trek+generations+1994,3947
the+lord+of+the+rings+the+fellowship+of+the+ring+2001,3831
babe+1995,3717
outbreak+1995,3704
goldeneye+1995,3650
cliffhanger+1993,3622
mrs.+doubtfire+1993,3577
saving+private+ryan+1998,3520
back+to+the+future+1985,3514
pretty+woman+1990,3514
the+rock+1996,3497
crimson+tide+1995,3486
the+mask+1994,3476
waterworld+1995,3472
the+sixth+sense+1999,3447
the+firm+1993,3395
interview+with+the+vampire+1994,3382
while+you+were+sleeping+1995,3379
the+net+1995,3362
the+lord+of+the+rings+the+two+towers+2002,3350
the+lord+of+the+rings+the+return+of+the+king+2003,3207
ghost+1990,3132
willy+wonka++the+chocolate+factory+1971,3046
the+princess+bride+1987,3030
sleepless+in+seattle+1993,3018
the+birdcage+1996,2959
titanic+1997,2948
natural+born+killers+1994,2922
sense+and+sensibility+1995,2895
broken+arrow+1996,2882
one+flew+over+the+cuckoos+nest+1975,2879
shrek+2001,2859
memento+2000,2805
mr.+hollands+opus+1995,2783
four+weddings+and+a+funeral+1994,2773
gladiator+2000,2750
dead+man+walking+1995,2744
quiz+show+1994,2712
monty+python+and+the+holy+grail+1975,2676
the+godfather+part+ii+1974,2675
leaving+las+vegas+1995,2673
men+in+black+1997,2665
heat+1995,2653
get+shorty+1995,2604
addams+family+values+1993,2601
e.t.+the+extra-terrestrial+1982,2589
home+alone+1990,2561
clueless+1995,2557
the+terminator+1984,2539
the+dark+knight+2008,2509
amlie+2001,2443
blade+runner+1982,2422
alien+1979,2419
star+wars+episode+i+-+the+phantom+menace+1999,2371
taxi+driver+1976,2369
l.a.+confidential+1997,2337
groundhog+day+1993,2313
being+john+malkovich+1999,2299
casablanca+1942,2296
ace+ventura+when+nature+calls+1995,2295
die+hard+1988,2289
indiana+jones+and+the+last+crusade+1989,2282
goodfellas+1990,2247
good+will+hunting+1997,2213
leon+the+professional+1994,2188
x-men+2000,2156
ghostbusters+1984,2153
shakespeare+in+love+1998,2124
american+history+x+1998,2121
reservoir+dogs+1992,2119
pirates+of+the+caribbean+the+curse+of+the+black+pearl+2003,2107
eraser+1996,2094
star+trek+first+contact+1996,2089
the+nutty+professor+1996,2080
crouching+tiger_+hidden+dragon+2000,2080
trainspotting+1996,2059
austin+powers+the+spy+who+shagged+me+1999,2036
the+fifth+element+1997,2019
jumanji+1995,2004
happy+gilmore+1996,1990
aliens+1986,1984
the+santa+clause+1994,1983
grumpier+old+men+1995,1981
legends+of+the+fall+1994,1975
the+american+president+1995,1970
eternal+sunshine+of+the+spotless+mind+2004,1966
toy+story+2+1999,1965
clerks+1994,1964
